NLMUID,Medline_Title,Medline_Title_Abbreviation,ISSN,eISSN,Full_Text_Start_Date,Full_Text_End_Date
101304007,Influenza and other respiratory viruses,Influenza Other Respi Viruses,17502640,17502659,1/1/2007 0:00,
101189513,"Prilozi / Makedonska Akademija na Naukite i Umetnostite, Oddelenie za Bioloski i Medicinski Nauki / Contributions / Macedonian Academy of Sciences & Arts, Section of Biological & Medical Sciences",Prilozi,3513254,,3/1/2007 0:00,9/30/2013 0:00
101315570,clinical respiratory journal,Clin Respir J,17526981,1752699X,7/1/2007 0:00,
101468753,Journal of neuropsychology,J Neuropsychol,17486645,17486653,3/1/2007 0:00,
101258412,Biology direct,Biol Direct,,17456150,1/1/2006 0:00,
101301827,BMC systems biology,BMC Syst Biol,,17520509,1/1/2007 0:00,
101245792,Head &amp; face medicine,Head Face Med,,1746160X,1/1/2005 0:00,
101265113,Journal of cardiothoracic surgery,J Cardiothorac Surg,,17498090,3/1/2006 0:00,
101245794,Journal of ethnobiology and ethnomedicine,J Ethnobiol Ethnomed,,17464269,7/1/2005 0:00,
101605237,Journal of Diabetes Research,J Diabetes Res,23146745,23146753,1/1/2013 0:00,
101608980,NTP Monograph,NTP Monogr,23301279,,6/1/2012 0:00,6/30/2012 0:00
101530790,Arab Journal of Nephrology and Transplantation,Arab J Nephrol Transplant,1858554X,,5/1/2011 0:00,
370605,Arthritis and Rheumatism,Arthritis Rheum,43591,15290131,1/1/2012 0:00,12/31/2013 0:00
101595834,Microscopy,Microscopy (Oxf),20505698,20505701,2/1/2013 0:00,
101535763,International Journal of Occupational & Environmental Medicine,Int J Occup Environ Med,20086520,20086814,1/1/2010 0:00,
101286574,Neural development,Neural Dev,,17498104,1/1/2006 0:00,
101266602,Orphanet journal of rare diseases,Orphanet J Rare Dis,,17501172,3/1/2006 0:00,
101258058,"Philosophy, ethics, and humanities in medicine : PEHM",Philos Ethics Humanit Med,,17475341,1/1/2006 0:00,
101265111,Radiation oncology,Radiat Oncol,,1748717X,1/1/2006 0:00,
101258060,"Substance abuse treatment, prevention, and policy",Subst Abuse Treat Prev Policy,,1747597X,1/1/2006 0:00,
101263253,Trials,Trials,,17456215,1/1/2009 0:00,
